,customerID,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_log,avg_monthly_charge
0,7590-VHVEG,1,0,1,1,29.85,29.85,0,0.0,29.85
1,5575-GNVDE,34,1,2,2,56.95,1889.5,0,3.5263605246161616,55.5735294117647
2,3668-QPYBK,2,1,1,2,53.85,108.15,1,0.6931471805599453,54.075
3,7795-CFOCW,45,0,2,3,42.3,1840.75,0,3.8066624897703196,40.90555555555556
4,9237-HQITU,2,1,1,1,70.7,151.65,1,0.6931471805599453,75.825
5,9305-CDSKC,8,1,1,1,99.65,820.5,1,2.0794415416798357,102.5625
6,1452-KIOVK,22,1,1,4,89.1,1949.4,0,3.091042453358316,88.60909090909091
7,6713-OKOMC,10,0,1,2,29.75,301.9,0,2.302585092994046,30.189999999999998
8,7892-POOKP,28,1,1,1,104.8,3046.05,1,3.332204510175204,108.78750000000001
9,6388-TABGU,62,1,2,3,56.15,3487.95,0,4.127134385045092,56.25725806451613
10,9763-GRSKD,13,1,1,2,49.95,587.45,0,2.5649493574615367,45.18846153846154
11,7469-LKBCI,16,1,3,4,18.95,326.8,0,2.772588722239781,20.425
12,8091-TTVAX,58,1,2,4,100.35,5681.1,0,4.060443010546419,97.95
13,0280-XJGEX,49,1,1,3,103.7,5036.3,1,3.8918202981106265,102.78163265306122
14,5129-JLPIS,25,1,1,1,105.5,2686.05,0,3.2188758248682006,107.44200000000001
15,3655-SNQYZ,69,1,3,4,113.25,7895.15,0,4.23410650459726,114.42246376811593
16,8191-XWSZG,52,1,2,2,20.65,1022.95,0,3.9512437185814275,19.672115384615385
17,9959-WOFKT,71,1,3,3,106.7,7382.25,0,4.2626798770413155,103.97535211267606
18,4190-MFLUW,10,1,1,4,55.2,528.35,1,2.302585092994046,52.835
19,4183-MYFRB,21,1,1,1,90.05,1862.9,0,3.044522437723423,88.70952380952382
20,8779-QRDMV,1,0,1,1,39.65,39.65,1,0.0,39.65
21,1680-VDCWW,12,1,2,3,19.8,202.25,0,2.4849066497880004,16.854166666666668
22,1066-JKSGK,1,1,1,2,20.15,20.15,1,0.0,20.15
23,3638-WEABW,58,1,3,4,59.9,3505.1,0,4.060443010546419,60.432758620689654
24,6322-HRPFA,49,1,1,4,59.6,2970.3,0,3.8918202981106265,60.61836734693878
25,6865-JZNKO,30,1,1,3,55.3,1530.6,0,3.4011973816621555,51.019999999999996
26,6467-CHFZW,47,1,1,1,99.35,4749.15,1,3.8501476017100584,101.04574468085106
27,8665-UTDHZ,1,0,1,1,30.2,30.2,1,0.0,30.2
28,5248-YGIJN,72,1,3,4,90.25,6369.45,0,4.276666119016055,88.46458333333334
29,8773-HHUOZ,17,1,1,2,64.7,1093.1,1,2.833213344056216,64.3
30,3841-NFECX,71,1,3,4,96.35,6766.95,0,4.2626798770413155,95.30915492957746
31,4929-XIHVW,2,1,1,4,95.5,181.65,0,0.6931471805599453,90.825
32,6827-IEAUQ,27,1,2,2,66.15,1874.45,0,3.295836866004329,69.42407407407407
33,7310-EGVHZ,1,1,1,3,20.2,20.2,0,0.0,20.2
34,3413-BMNZE,1,1,1,3,45.25,45.25,0,0.0,45.25
35,6234-RAAPL,72,1,3,3,99.9,7251.7,0,4.276666119016055,100.71805555555555
36,6047-YHPVI,5,1,1,1,69.7,316.9,1,1.6094379124341003,63.379999999999995
37,6572-ADKRS,46,1,1,4,74.8,3548.3,0,3.828641396489095,77.13695652173914
38,5380-WJKOV,34,1,1,1,106.35,3549.25,1,3.5263605246161616,104.38970588235294
39,8168-UQWWF,11,1,1,3,97.85,1105.4,1,2.3978952727983707,100.4909090909091
